"","Doxorubicin_IC_50","Etoposide_IC_50","Gemcitabine_IC_50","Mitomycin.C_IC_50","Vinorelbine_IC_50","NSC.87877_IC_50","Bicalutamide_IC_50","QS11_IC_50","Midostaurin_IC_50","CHIR.99021_IC_50","AP.24534_IC_50","AZD6482_IC_50","JNK.9L_IC_50","PF.562271_IC_50","DMOG_IC_50","FTI.277_IC_50","OSU.03012_IC_50","Shikonin_IC_50","AKT.inhibitor.VIII_IC_50","Embelin_IC_50","FH535_IC_50","PAC.1_IC_50","IPA.3_IC_50","GSK.650394_IC_50","BAY.61.3606_IC_50","Thapsigargin_IC_50","Obatoclax.Mesylate_IC_50","BMS.754807_IC_50","OSI.906_IC_50","Bexarotene_IC_50","Bleomycin_IC_50","LFM.A13_IC_50","AUY922_IC_50","Bryostatin.1_IC_50","Pazopanib_IC_50","LAQ824_IC_50","Epothilone.B_IC_50","GSK.1904529A_IC_50","Tipifarnib_IC_50","AS601245_IC_50","AICAR_IC_50","Camptothecin_IC_50","Vinblastine_IC_50","Cisplatin_IC_50","Cytarabine_IC_50","Docetaxel_IC_50","Methotrexate_IC_50","ATRA_IC_50","Gefitinib_IC_50","ABT.263_IC_50","Vorinostat_IC_50","RDEA119_IC_50","Temsirolimus_IC_50","AZD.2281_IC_50","ABT.888_IC_50","Bosutinib_IC_50","Lenalidomide_IC_50","Axitinib_IC_50","AZD7762_IC_50","GW.441756_IC_50","CEP.701_IC_50","X17.AAG_IC_50","VX.702_IC_50","AMG.706_IC_50","KU.55933_IC_50","Elesclomol_IC_50","BIBW2992_IC_50","GDC.0449_IC_50","PLX4720_IC_50","BX.795_IC_50","NU.7441_IC_50","BIRB.0796_IC_50","JNK.Inhibitor.VIII_IC_50","Nutlin.3a_IC_50","PD.173074_IC_50","RO.3306_IC_50","NVP.BEZ235_IC_50","GDC0941_IC_50","AZD8055_IC_50","PD.0325901_IC_50","CCT007093_IC_50","EHT.1864_IC_50","BMS.708163_IC_50","PF.4708671_IC_50","JNJ.26854165_IC_50","TW.37_IC_50","AG.014699_IC_50"
"A253",-3.076615,-3.993972,-2.280089,-1.062348,-6.706847,6.110853,4.465783,3.201901,1.589861,4.704822,1.604843,4.189404,-1.342788,2.880603,5.446993,4.160491,0.844369,-4.89381,2.340804,2.047287,1.779525,4.646079,6.249929,4.40119,4.892354,-6.360661,-0.55295,3.527388,5.39134,5.680654,1.049149,4.613877,-2.985395,-4.152304,2.43283,-1.492314,-4.574299,3.11081,2.347906,2.09674,7.961737,-3.415119,-4.123151,3.336149,0.514866,-4.67375,1.322785,5.88864,2.741325,3.068108,1.075108,1.267233,-0.870013,6.245252,6.217905,2.653229,6.236156,3.697556,-0.584284,2.704847,1.752705,-1.199554,5.177591,4.274104,5.651579,-4.073241,1.79023,5.279604,6.646713,4.060174,3.9749,6.227855,6.055067,6.681148,5.155427,5.012939,-1.128555,4.535926,0.639537,-0.570203,5.69084,5.245346,4.590446,5.744356,1.929907,-1.524389,6.317975
"A2780",-2.676762,0.100093,-8.216291,-2.238402,-5.054334,5.226913,4.802525,2.585602,-0.744381,5.262127,-1.069914,2.122568,-0.426167,1.132501,7.616202,1.257235,1.914989,0.940963,3.010982,2.582169,1.703774,2.030758,3.345366,4.627409,0.422311,-8.535396,-3.873519,-0.147032,2.857271,4.025662,-1.513283,5.413163,-4.065792,-1.561149,2.406609,-2.801466,-6.170478,3.860428,1.195377,2.504736,8.862863,-5.707524,-5.523914,1.574386,-1.32981,-5.488462,-2.908875,3.163788,2.818274,3.932396,1.4011,2.822366,-3.319972,3.94928,5.403405,4.406567,4.359073,0.261516,-0.343743,4.531728,-1.757095,-2.032146,1.868898,4.163624,6.384692,-5.13481,2.980038,6.695839,5.321258,2.21708,4.809836,5.81295,5.612492,5.20682,2.400691,6.232459,-2.239898,1.474036,0.543529,2.170707,4.403372,1.85342,3.624046,2.624965,2.383466,-1.521165,0.663149
"A3-KAW",-3.215365,-1.026487,-7.503435,-3.353474,-3.836571,7.573796,5.297175,1.998529,-0.174439,6.133053,-0.486671,4.035419,-1.222812,1.471444,2.761108,2.744622,0.91226,0.760943,4.263317,2.197861,2.172067,0.656863,5.045563,2.818439,-0.301635,-6.223847,-2.457418,0.742917,2.770694,4.70744,-0.332797,4.370586,-1.482449,-1.311078,3.570335,-4.013737,-5.106587,4.758907,-0.104011,6.363957,5.43341,-5.511285,-4.951762,5.583735,1.042838,0.233008,-3.231484,5.918546,3.372308,5.390703,-0.753816,5.110788,-1.607818,4.997568,5.974615,4.095641,5.915477,4.721577,-1.089167,5.22767,-1.303219,2.339257,4.972776,4.745434,6.625168,-1.541088,3.63954,6.112586,7.245142,1.085491,5.659349,6.779045,6.924079,1.824519,5.1364,6.341923,-2.27721,6.283336,-0.347556,1.900777,6.404964,3.129969,6.461969,3.506567,5.772197,-1.103223,5.699959
"A375",-4.692016,-0.460699,-11.518031,-1.970271,-3.264627,6.51745,4.282156,1.927066,-0.577988,4.003797,1.125526,4.301239,-0.473401,3.631375,5.170042,3.859343,0.778947,-1.167611,3.840302,1.273255,1.275397,-0.140581,5.899784,1.659165,0.237625,-9.324466,-5.656418,-2.706291,-0.741975,2.346162,-2.643705,5.254091,-3.830161,-0.796362,3.726645,-3.392792,-9.904015,4.091236,-0.483731,3.626355,7.390849,-7.054015,-6.164229,0.277869,-2.583922,-6.371504,2.754103,4.555625,1.76396,3.571849,-0.07971,-2.546469,-6.141519,2.064259,3.933782,-1.013995,4.224408,1.470169,-1.870929,3.025792,-2.561296,-1.510702,5.066814,2.464504,2.911108,-6.205108,3.323052,2.470235,-1.596463,0.05713,1.721205,4.441063,4.469663,0.592602,3.842419,2.380113,-4.036731,-0.378318,-1.07318,-6.463893,5.786316,5.744117,4.608016,5.927807,2.282672,-2.42103,3.025122
"A4-Fuk",-1.817209,-0.173128,-7.375682,-1.489767,-5.512674,7.378669,4.263511,3.690917,-0.578962,6.119213,-0.64383,1.124984,-0.027894,1.405756,3.807472,4.206237,3.033745,-1.387366,0.619661,3.901934,5.013866,1.794482,2.244802,2.703912,0.592166,-9.868728,-2.413867,-5.167202,-3.573247,3.634006,3.230332,4.073747,-4.073092,-1.241193,6.096111,-5.271648,-6.821983,3.922293,-3.882901,4.108983,5.635615,-5.180752,-6.156982,2.148034,-0.178903,-3.710952,-3.884233,4.20749,3.480963,4.222118,-0.219555,-0.019779,-2.236199,5.692587,6.255676,-0.452882,2.594853,0.633089,-2.382307,4.112822,-3.038821,4.250235,0.678843,5.141578,4.428995,-1.787526,2.631564,4.227871,2.627788,1.375877,5.0493,4.934203,7.14242,3.619221,-0.301238,3.33375,-3.851231,-1.383991,-2.311519,-1.169789,4.964864,6.045157,5.683372,5.972171,1.580774,-1.450355,6.1126
"A427",-4.438581,-2.269325,-1.127086,-1.19956,-5.775286,7.496052,4.500249,4.583543,-2.127097,5.218361,-1.299598,-0.00496,-1.251333,4.312578,6.463997,4.411027,-0.178041,-4.017666,1.123933,3.535501,-1.469506,2.442115,4.675104,0.629199,1.527049,-6.154247,-2.463664,-1.413807,1.180804,1.787169,-9.044918,5.991679,-4.343539,-0.182678,0.683477,-3.007364,-7.096816,4.482982,-0.546164,4.665617,9.159373,-5.460508,-4.378325,5.858937,-3.367003,-6.286195,2.784037,6.717372,4.087227,-0.072332,-0.082467,1.495318,-1.700048,3.526291,4.395788,1.241627,5.13602,0.098767,-1.617886,3.330309,-3.754547,-0.86796,3.773864,4.226005,4.548573,-5.104887,3.635233,5.090693,4.40272,0.551519,1.711383,6.516709,6.338705,1.92837,3.220166,6.357868,-1.700606,2.846851,-0.038763,-0.568177,4.835477,4.930196,6.574698,1.744959,2.094568,-3.107934,3.363914
"A431",-3.869526,-0.226219,-8.605445,-3.128721,-5.844247,5.708027,4.048559,1.201422,-2.187857,5.353274,0.783987,1.723746,-1.390088,1.543786,4.580108,4.567857,0.647183,-2.235182,4.488171,1.750709,0.737096,3.645438,5.889359,0.620051,0.549431,-5.493711,-2.43033,-1.037859,4.850861,4.48782,0.747619,5.250201,-5.104983,-1.639331,2.290541,-3.705444,-11.526967,3.907534,-0.422574,2.713107,7.484155,-4.833575,-4.809909,4.664505,0.629402,-6.95572,0.787137,4.63456,-0.248405,2.913043,0.941315,1.071346,-0.409394,5.772021,5.899544,0.862994,5.87711,3.867732,-0.078485,4.821704,-0.950062,-2.499837,4.366781,5.203475,5.424115,-2.072405,-0.729132,5.860254,2.343846,1.014327,3.668405,5.983794,6.568278,6.094732,5.165286,2.543438,-2.408231,0.821338,-0.184938,-0.433818,5.830686,5.961917,4.768983,4.740934,3.301581,0.384665,3.641551
"A498",2.906769,4.133094,3.649336,5.932161,-0.607345,5.542714,3.506694,6.540007,3.284738,-1.176058,1.654654,5.877591,5.755441,4.420616,6.342013,3.71974,6.145305,3.735798,4.62364,5.875329,7.19908,4.686933,7.744782,6.730026,4.787236,1.527167,6.856668,2.995936,3.630239,5.320885,6.926715,5.664141,1.651062,-2.275076,4.836154,1.488543,-2.791951,3.476334,7.217971,5.51634,9.668489,-4.950868,-5.126437,2.974722,1.316271,-7.951927,2.237905,6.001521,0.830362,5.205849,1.16587,3.572085,-0.819266,5.255072,5.842166,0.337281,4.316565,3.720898,0.547906,2.039547,-1.507471,-2.284787,5.122589,5.529602,5.81535,-3.067326,-0.899573,6.255717,4.718787,1.518162,5.368795,7.113992,6.712308,4.233689,5.22022,4.830652,-2.588219,0.266,1.856769,-1.505711,5.90476,5.751688,6.673727,5.909098,3.409432,0.401948,5.270411
"ABC-1",-2.483512,-0.905027,-3.787798,-2.793666,-5.801127,7.427835,3.714667,2.695888,-2.008791,5.673559,2.760218,2.691273,-0.117986,0.811799,6.103416,3.242222,1.158566,-0.346039,2.330733,5.104065,1.225968,4.779598,6.032498,1.884493,2.323181,-5.74716,-0.683278,-2.146045,-0.101456,4.341593,2.978987,6.442427,-2.43506,-1.978432,5.122632,-3.333571,-6.391757,3.864086,1.166918,2.274734,10.382258,-5.66423,-4.167509,1.283161,0.41906,-4.27523,3.051622,6.529676,2.512926,2.879988,0.957281,5.103064,-1.138277,4.365365,4.930063,1.442989,3.39106,1.370955,-1.344628,1.744318,2.526257,3.847032,5.350751,3.434842,6.451928,-7.914729,3.537163,6.955773,6.54828,1.571056,5.088651,5.191183,5.323734,3.991247,4.381305,2.921153,-0.86644,5.554726,3.288242,-2.095406,5.669427,3.347664,5.592679,2.312906,2.76914,-1.153596,6.684833
"ACHN",-3.008944,-0.175852,-13.935158,-2.630028,-3.084145,6.997779,4.270439,2.546591,-1.10513,2.230601,-1.226813,2.922722,-0.12155,1.392202,5.695339,2.780503,1.266985,-1.921558,3.194448,3.93167,1.52616,0.523038,5.098784,2.378664,0.320838,-3.555553,-2.021428,0.629721,5.304133,4.114663,-0.981823,6.446745,-3.752848,-1.026949,2.36784,-2.897895,-7.197314,2.863805,0.112145,0.854648,7.099968,-5.011156,-2.829617,2.085441,-0.993761,-3.107951,-2.462093,4.49307,-1.104438,2.43546,2.224596,3.871946,-1.26177,5.104768,5.551627,-0.614906,5.577564,3.960072,-2.012234,4.249026,-2.263751,-0.501389,4.944344,4.320983,5.577524,1.743183,-1.139626,5.574926,3.521599,5.847072,4.281808,4.698965,3.026327,4.657102,4.797996,4.726586,-1.030826,3.197268,0.645981,-0.061945,5.150459,4.047357,6.012298,3.559876,2.068148,-1.903801,3.015145
"ACN",-3.46975,-2.538832,-8.319793,-2.05644,-6.622972,5.343123,4.719163,1.794124,-0.433369,4.080224,-1.053466,2.579527,-2.54295,0.85333,4.853105,1.861067,0.884471,-0.086703,2.511509,1.767355,1.309786,0.582671,4.974253,3.245859,2.985505,-5.362256,-4.481692,0.896282,4.156474,3.04255,-0.212773,6.185012,-4.100097,-3.839544,3.113359,-3.166742,-6.842258,4.281465,0.379012,2.171781,7.612931,-2.71384,-3.126609,5.095343,2.321186,-4.818136,2.795992,3.344385,3.825999,3.701081,2.385812,-2.732477,-0.529375,6.241341,6.045577,5.297628,6.134422,5.369747,-1.761943,4.809904,-1.105864,-3.179132,5.251273,4.957977,4.901109,-2.478332,3.322272,6.155815,0.240284,4.264112,3.575408,4.641462,6.303328,5.049487,5.277616,6.012284,-2.502972,1.77972,-0.058929,-4.150353,4.883816,3.851927,3.083195,5.163632,2.953422,-0.362396,4.540478
"AGS",-4.3226,-1.144972,-9.313899,-2.246212,-5.041854,7.469783,4.525412,1.903802,-1.75147,5.405031,0.567346,2.243768,-0.879763,0.419523,6.444876,2.789278,0.093325,-0.490094,2.023304,2.154813,1.680015,4.946355,3.569422,2.147421,2.14105,-4.735483,-0.950935,0.155437,5.151549,4.365376,-0.688107,6.334182,-4.546356,-1.385963,6.69728,-3.904746,-5.961259,4.47577,1.511435,2.46907,11.690564,-6.096845,-4.327062,5.789637,2.199684,-7.043505,1.995742,6.8442,3.949786,-2.30668,-0.636599,-1.821348,-6.048727,4.825181,6.861586,2.960856,6.541055,2.484397,-0.682358,3.656705,-5.094265,-4.073305,5.837135,5.375947,3.723162,-9.629465,2.816664,6.850151,7.111696,0.3717,1.857151,7.035321,6.497803,0.888611,3.819128,0.760865,-3.89845,-0.686136,-0.230549,-4.691281,5.80696,2.793608,5.283725,6.202656,1.680003,-3.282571,4.58642
"ALL-PO",-2.732858,-0.371373,-11.699525,-3.474503,-5.696056,7.761249,4.915738,2.967408,-1.927877,1.576621,-2.084007,2.537364,-0.398299,0.015718,4.247291,3.236838,1.472645,-1.154791,2.957266,1.293807,0.85048,1.636081,2.634591,1.744918,-0.584832,-4.119323,-1.420106,0.782298,1.904963,1.767298,-0.013824,5.179051,-4.054193,-0.216541,3.464459,-4.916514,-6.523111,1.694021,-0.589585,0.582618,5.645767,-6.386608,-6.866161,3.143439,-0.758265,-4.666235,-1.28083,-0.359568,1.509122,-6.483158,-1.741666,1.162828,0.218982,1.933477,2.796556,1.103618,2.349508,0.242466,-4.729107,0.585491,-4.367975,-0.111275,1.504407,4.09265,0.904751,-5.416137,1.116892,2.436746,1.998065,-2.276452,1.309921,5.844034,4.11151,1.753753,2.162485,0.897046,-2.316406,-1.326286,-0.294913,-0.644475,5.701829,1.007125,6.113326,2.651837,-0.657678,-1.805096,2.166938
"AM-38",-1.26756,1.29939,-9.015787,-1.50886,-3.394765,7.815149,5.317713,3.197313,-0.316473,6.08345,1.218028,3.758241,0.105951,2.175251,6.503712,2.935442,3.50857,-2.340184,5.745641,2.522377,2.935791,3.003364,3.077336,4.625048,2.581323,-4.212395,-1.648981,0.822924,2.886509,5.920204,1.597592,6.019477,-4.341432,-0.061452,6.597238,-2.637361,-4.884299,4.945037,3.308599,4.920989,6.941364,-5.42432,-3.298948,5.413927,0.383596,-4.33686,-0.5044,3.696561,2.099587,2.584498,1.020127,2.419895,-0.896262,4.659615,5.422816,4.859948,5.39014,4.737031,0.774797,3.916567,1.07851,-1.567929,2.771631,3.956176,5.248948,-1.779183,3.969333,6.121641,5.014326,2.739891,3.403217,3.4963,5.609727,1.910488,4.85185,5.926348,-2.6692,3.237934,0.31626,0.339665,5.278718,2.780634,5.099073,5.409303,2.737971,-0.173299,4.295132
"AN3-CA",-2.626674,0.789485,-1.59314,-0.647636,-5.072142,2.64578,4.735288,3.058708,-1.133256,4.163614,-3.977648,1.279237,-1.094441,0.197758,5.3446,4.150899,0.934928,-2.530164,0.504471,1.831985,0.076122,3.860302,2.658492,2.035389,1.53924,-8.432088,-1.855425,-0.420899,3.55697,2.749174,0.936225,6.059758,-4.588321,-1.622674,-4.600053,-3.597896,-7.701318,3.235531,0.003819,0.950723,9.023088,-3.382099,-4.628964,2.296739,0.609814,-5.053504,2.250133,5.9438,3.11832,1.236164,1.797478,4.035875,-2.866808,4.685051,4.358667,4.947312,6.013475,0.08056,-0.177797,4.59045,0.21937,-2.995755,4.875971,2.036445,4.787357,-4.529568,3.347778,4.738161,3.641828,0.494642,1.448829,2.895911,5.859402,5.389788,-0.912975,2.705233,-5.191428,-1.077733,-2.531821,0.522153,5.432968,5.052831,6.607134,6.567169,2.711149,-0.10805,6.829133
